السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,سعر التأمين,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
104000.0,كيا سبورتاج,2016,بترولي ,1700.0,5+1 ,107000 ,يد أولى ,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,3160,1,1,1,0,1,1,1,1
180000.0,فولكسفاجن جولف,2016,أزرق ,2000.0,4+1 ,"85,000 ",يد ثانية ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,4490,1,1,1,1,1,1,1,1
85000.0,سكودا اوكتافيا,2016,أبيض ,1600.0,4+1 ,0000 ,2 ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2828,1,0,1,0,1,1,1,1
48000.0,اوبل استرا,2014,أبيض ,1400.0,4+1 ,,ثانية ,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,2035,1,1,1,0,1,1,1,1
64000.0,بيجو بارتنر,2018,رصاصي ,1600.0,4+1 ,140000 ,يد ثانيه ,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,2460,1,0,1,0,1,1,1,1
15000.0,مرسيدس 709,1988,أبيض ,2500.0,5+1 ,0000000000 ,ثالثه ,خصوصي ,فلسطينية ,ديزل ,عادي ,يدوي ,1345,0,0,0,0,0,0,0,0
30000.0,مرسيدس 230,1992,أبيض ,2300.0,,22000 ,7 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1345,1,0,1,0,1,1,1,0
100000.0,ميتسوبيشي L200,2010,سكني ,2500.0,4+1 ,,يد ثانية ,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,3440,1,0,1,0,1,1,1,0
60000.0,مرسيدس 814,2001,أبيض عاجي ,6000.0,,150000 ,٣ ,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,1370,0,0,0,0,1,0,0,0
68000.0,بيجو 508,2012,أزرق سماوي ,1600.0,3+1 ,,1 ,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,2530,1,1,1,1,1,1,1,1
30000.0,هونداي H100,2001,أبيض عاجي ,2850.0,7+1 ,٥٦٧٥٤ ,٤ ,خصوصي ,فلسطينية ,ديزل ,عادي ,يدوي ,1345,0,1,0,0,1,1,1,0
