,السعر,الموديل,موديل سنة,لون السيارة,قوة الماتور,عدد الركاب,عداد السيارة,أصحاب سابقون,أصل السيارة,رخصة السيارة,نوع الوقود,نوع الجير,الزجاج,وسادة حماية هوائية,فرش جلد,جنطات مغنيسيوم,فتحة سقف,مسجل CD,إغلاق مركزي,مُكيّف,جهاز إنذار
1132,57000.0,فولكسفاجن باسات,2006,أسود ,2000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
1133,57500.0,اوبل كورسا,2015,فيراني ,1400.0,5.0,112.0,1.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,1,1,0,1,1,1,1
1134,52000.0,سكودا اوكتافيا,2004,أبيض ,1900.0,5.0,65000.0,2.0,عمومي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,1,0,0,1,1,1,1
1135,40000.0,داف 55,2000,أبيض ,230.0,3.0,65000.0,2.0,تجاري ,فلسطينية ,ديزل ,عادي ,يدوي ,0,0,0,0,0,0,0,0
1136,80000.0,فولكسفاجن GTI,2006,أبيض ,200.0,5.0,118000.0,4.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,0,0,0,0,0,0,0,0
1137,54000.0,سيت ابيزا,2012,فضي ,1400.0,5.0,77000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
1138,43000.0,هوندا سيفيك,1999,رصاصي ,1600.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,0,0,1,1,1,1,1,0
1139,130000.0,كيا سورينتو,2012,فيراني ,2200.0,7.0,70.0,2.0,خصوصي ,فلسطينية ,ديزل ,اوتوماتيك ,الكتروني ,1,1,1,1,1,1,1,1
1141,49500.0,كيا مورننغ,2016,سكني ,1000.0,5.0,18000.0,0.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,0,0,1,0
1142,48000.0,اوبل استرا,2004,أسود ميتالك ,1600.0,5.0,1234.0,5.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,1,0,1,1,1,1
1143,23000.0,هونداي اتوس,1999,سكني ,1000.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,1,0,1,0,1,0
1145,7500.0,رينو R9,1987,كحلي ,1300.0,5.0,65000.0,2.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,0,0,0,0,0,0,0
1146,75000.0,ميتسوبيشي اتراج,2015,فيراني ,1200.0,5.0,50000.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
1147,1500.0,اوبل اسكونا,1983,أبيض ,1600.0,5.0,0.0,6.0,خصوصي ,فلسطينية ,بنزين ,عادي ,يدوي ,0,1,0,0,1,1,0,1
1148,65000.0,فولكسفاجن جولف,2008,أزرق ,1600.0,5.0,115000.0,3.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,1,0,1,1,1,0
1149,37000.0,فولكسفاجن بولو,2005,سكني ,1400.0,5.0,176000.0,3.0,خصوصي ,فلسطينية ,بنزين ,اوتوماتيك ,الكتروني ,1,0,0,0,1,1,1,0
1150,65000.0,داتشيا ستيب واي,2016,أبيض ,900.0,5.0,30.0,1.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,1,0,0,0,1,1,0
1151,55000.0,ستروين  C4,2012,فضي ,1600.0,5.0,105000.0,1.0,خصوصي ,فلسطينية ,ديزل ,عادي ,الكتروني ,1,0,0,0,1,1,1,0
1152,58000.0,اوبل كورسا,2016,رمادي ,1400.0,5.0,50.0,0.0,خصوصي ,فلسطينية ,بنزين ,عادي ,الكتروني ,1,0,1,0,1,1,1,1
1153,30000.0,ميتسوبيشي كانتر,2000,أبيض عاجي ,3200.0,3.0,65000.0,2.0,تجاري ,فلسطينية ,ديزل ,عادي ,الكتروني ,0,0,0,0,0,0,0,0
